Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
,Switzerland,208.5,178.7,74.3,68.9,123.1,8.6,28.7,23.0,70.5
,Denmark,206.5,142.1,74.3,81.9,84.9,5.9,25.6,29.9,70.6
,New Zealand,201.1,115.5,63.6,72.6,78.2,6.3,31.1,19.0,88.4
,Germany,199.7,147.6,67.0,75.8,65.5,7.1,29.1,29.9,63.0
,Australia,198.8,147.3,56.9,73.7,78.5,8.4,34.7,22.9,77.3
,Austria,192.4,120.5,75.9,77.8,66.6,9.5,26.8,30.8,63.8
,Netherlands,192.4,129.3,68.5,70.4,72.1,5.9,35.5,32.8,76.3
,Norway,188.9,125.8,69.9,74.2,99.8,7.4,29.5,18.2,56.3
,Spain,186.4,105.3,68.2,75.9,56.1,8.1,30.5,46.6,90.8
,Sweden,185.8,128.2,56.9,74.3,75.7,11.2,32.0,18.3,61.8
,Finland,184.0,132.9,71.9,74.4,75.2,7.7,32.9,17.8,32.6
,United States,184.0,139.2,51.1,67.8,74.1,3.4,33.4,34.9,67.6
,Portugal,181.2,75.5,64.9,69.0,49.8,8.4,30.6,31.8,91.7
,United Kingdom,180.2,120.0,56.9,74.0,81.0,9.3,35.5,35.0,81.6
,Canada,177.2,134.8,60.8,68.6,64.8,6.1,37.8,29.5,46.2
,Japan,176.1,117.6,80.7,80.4,81.3,20.2,48.4,34.0,79.6
,Slovenia,175.9,89.8,73.7,58.5,52.2,9.7,25.0,28.2,62.5
,France,173.6,118.5,55.9,82.2,75.3,11.9,32.0,46.3,78.3
,Croatia,172.4,67.9,70.5,60.0,48.2,11.9,30.0,30.4,85.6
,Ireland,171.9,125.7,51.6,50.4,78.0,8.5,32.3,30.8,73.1
,South Korea,170.3,120.6,85.7,79.0,73.2,14.9,30.9,49.7,51.3
,Czech Republic,167.4,90.0,67.9,72.3,41.8,10.3,32.5,42.5,63.5
,Israel,166.6,115.5,69.4,76.1,75.7,10.6,37.8,61.5,81.9
,Greece,165.4,79.3,61.5,59.2,54.4,7.4,29.1,47.2,87.1
,Belgium,162.3,106.7,54.8,78.1,75.4,6.6,36.2,56.6,77.0
,Italy,159.3,105.7,53.8,67.8,68.8,10.4,36.5,56.6,86.2
,Saudi Arabia,159.2,167.9,74.8,65.1,47.6,2.8,38.7,72.2,16.8
,South Africa,156.7,126.1,21.6,59.6,34.7,3.3,43.2,63.3,91.4
,Poland,153.6,80.8,68.6,60.0,38.5,11.0,34.5,49.9,64.3
,Chile,147.3,78.4,58.0,61.1,43.9,9.9,33.8,67.2,85.7
,Bosnia And Herzegovina,146.7,60.6,57.5,60.5,34.6,10.9,23.4,57.9,75.3
,Romania,146.1,61.9,70.3,51.4,34.8,10.6,33.3,50.5,67.0
,United Arab Emirates,144.1,136.4,76.9,58.2,66.1,5.4,33.7,59.5,5.9
,Bulgaria,141.6,59.2,58.6,50.9,36.4,8.8,28.7,60.4,77.8
,Hungary,140.7,56.3,58.1,52.1,41.3,9.8,31.8,46.7,66.9
,Argentina,138.5,74.9,36.7,73.7,64.1,12.2,42.4,58.5,91.7
,Serbia,138.3,49.6,56.7,55.9,33.6,16.6,28.4,55.1,83.9
,Turkey,137.3,64.1,60.6,73.0,45.1,8.1,48.1,65.7,74.2
,Mexico,137.0,76.5,49.2,68.1,35.0,6.2,37.1,64.6,58.8
,Lithuania,134.3,61.3,56.8,67.4,45.6,12.9,30.2,30.9,24.4
,Colombia,128.5,46.0,51.5,73.2,29.2,16.3,44.2,64.4,84.5
,North Macedonia,115.0,46.7,62.0,60.0,31.0,15.5,40.7,85.3,80.6
,India,109.3,89.6,53.4,66.5,24.1,10.5,46.0,77.0,19.7
,Hong Kong,108.3,102.3,79.2,74.3,81.5,37.6,46.4,67.2,39.9
,Brazil,101.0,48.7,28.8,51.1,38.9,17.9,46.1,61.2,72.6
,China,99.0,77.4,67.9,61.2,48.1,25.0,44.1,85.5,46.6
,Iran,96.9,47.7,47.6,49.8,41.1,14.8,48.1,84.2,74.6
,Pakistan,94.0,43.3,43.4,61.3,26.7,15.3,36.8,76.6,41.2
,Singapore,93.1,110.5,84.2,69.1,83.7,23.2,43.4,38.8,-66.6
,Egypt,88.8,40.3,43.5,46.6,36.7,10.8,50.8,96.0,79.7
,Russia,88.3,57.4,52.7,54.1,38.5,12.8,49.1,64.5,10.9
,Ukraine,85.6,29.7,51.4,49.7,28.6,26.2,40.0,67.8,50.4
,Indonesia,72.2,35.5,53.0,62.6,36.3,19.5,41.4,75.1,8.0
,Philippines,65.8,42.9,62.4,72.3,34.7,19.2,46.0,73.1,-27.0
,Thailand,63.8,40.1,57.4,80.8,40.0,24.4,43.1,71.5,-23.3
,Malaysia,63.8,96.3,31.4,66.4,37.5,9.1,39.8,67.5,-71.2
