Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
,Switzerland,195.3,118.4,78.3,74.8,123.3,8.3,28.5,19.6,80.2
,Denmark,192.4,99.5,73.4,80.1,84.1,6.8,28.5,21.0,81.8
,Netherlands,185.4,88.0,72.1,75.6,75.7,7.2,27.4,25.1,87.1
,Finland,185.0,91.0,72.7,76.3,73.2,7.9,27.8,12.1,56.6
,Australia,183.8,104.6,56.2,78.1,77.7,7.2,34.8,23.9,92.7
,Iceland,182.3,77.1,76.5,66.4,94.9,6.4,19.8,15.8,68.8
,Germany,180.3,103.1,63.6,73.2,65.6,8.9,31.1,27.8,82.4
,Austria,179.2,77.3,73.9,76.7,71.0,10.7,25.5,21.7,77.1
,New Zealand,176.8,83.6,56.7,73.3,74.5,8.0,30.8,23.6,96.7
,Norway,176.4,83.1,66.2,76.8,100.9,8.0,26.9,17.9,68.7
,Sweden,175.3,98.1,51.0,68.7,71.7,7.8,29.4,18.3,74.9
,Estonia,174.2,63.5,76.2,73.3,53.7,9.3,24.5,19.7,64.3
,Oman,173.7,84.2,80.0,58.2,49.4,4.6,22.8,37.2,67.2
,Luxembourg,173.6,98.8,64.3,70.8,80.5,13.6,32.7,23.9,82.6
,United States,170.7,106.3,51.8,69.1,70.1,4.0,32.9,35.3,76.8
,Japan,169.5,87.1,77.9,80.5,77.0,11.0,40.7,38.8,85.3
,Slovenia,169.0,59.5,77.3,65.2,53.9,11.5,26.5,22.9,77.6
,Spain,168.5,70.0,66.1,78.4,53.9,8.8,29.2,39.7,93.8
,Czech Republic,162.6,66.5,74.5,75.3,48.2,13.6,29.5,35.9,77.1
,Portugal,162.5,46.8,69.4,72.0,47.9,12.2,29.9,30.5,97.8
,Lithuania,161.8,58.7,66.7,71.9,45.6,11.0,26.0,26.7,67.8
,United Kingdom,161.7,88.8,53.5,74.8,69.7,8.9,34.4,40.2,88.1
,Canada,160.4,88.0,57.1,71.3,70.2,7.5,33.6,28.8,56.0
,United Arab Emirates,160.4,92.2,84.9,68.7,58.3,4.4,36.2,49.7,45.2
,Croatia,159.2,47.5,75.9,64.1,48.9,13.9,26.9,31.2,89.0
,France,156.7,85.4,47.6,80.2,74.1,9.9,35.2,42.4,89.7
