"country","Quality_of_Life_Index","Purchasing_Power_Index","Safety_Index","Health_Care_Index","Cost_of_Living_Index","Property_Price_to_Income_Ratio","Traffic_Commute_Time_Index","Pollution_Index","Climate_Index"
"Switzerland","190.8","126.1","78.2","71.7","131.4","10.9","29.3","23","79.8"
"Germany","190","125","63.3","75.4","74.3","8","31.3","27.3","82.5"
"Sweden","176.8","113","50.7","70.4","83.7","10.5","30.7","19.1","75.1"
"United States","180.6","127.6","50.4","68.4","73","3.3","34.7","31.7","78.2"
"Finland","195.3","119.4","76.3","75.4","81.7","7.5","33.2","12.1","58.6"
"Denmark","197.7","117.5","78","77.1","93.3","7.2","28.5","23.6","82.4"
"Austria","190.2","98.7","79.6","78.8","81.5","9.6","27","22.9","77.7"
"Australia","188.7","123","57.5","76.2","84.3","7.4","36.3","24.8","92.4"
"Canada","173.9","118.9","60.7","70.6","72.5","6.1","36.1","27.7","52.8"
"New Zealand","182.4","98.6","60.8","72","83.4","8.2","34.5","21.8","96.1"
"Norway","176.3","108","56.7","74.7","113.7","8.7","31","20.2","71.9"
"Saudi Arabia","149.6","131.5","63.3","60.2","47.9","2.8","34","71.7","41"
"Japan","176","107.4","86.9","81.7","86.6","12.6","44.5","41.7","84.8"
"Netherlands","191.3","109.5","71.1","81.1","82.7","6.7","32.7","27.2","86.9"
"United Kingdom","171.9","108.5","58.8","74.2","75.8","9.3","35.8","37.7","87.9"
"United Arab Emirates","163.5","124.8","81.3","63.5","67.2","4.9","37.5","55.8","45.4"
"Ireland","163.5","96.1","56.2","53","85.4","7.6","37.5","28.7","89.4"
"France","166.2","101.2","54.7","78","83.9","9.9","35","40.4","89.8"
"Belgium","164","98.9","57.8","80.4","83.3","7.1","34.6","48.9","86.1"
"Spain","174.9","90.7","63.3","77.5","61.8","8","31.4","38.1","93.9"
"Slovenia","175.4","80.3","75.3","64.7","59.6","8.4","27.8","26.2","76.3"
"Portugal","166.7","62","65.5","69.5","55.9","10","30.3","30.5","97.4"
"Czech Republic","162","76.3","71.2","75.4","50.1","12.7","30.3","41","77.9"
"Israel","152.2","102.3","63.1","74.1","86.5","13.9","36.7","60.3","93.6"
"South Korea","155.4","109.4","64.2","83.4","82.9","14","37.2","52.9","67.2"
"Lithuania","149","57.3","62.4","66.8","53.2","13","28.7","33.1","68.8"
"Croatia","162.4","59.8","73","63.8","55.1","11.1","29.5","32.7","88.8"
"Singapore","150.5","95.9","83.8","69.6","91.4","22.2","46","33.9","58"
"South Africa","137.9","99.8","24.3","63","48.1","3.5","43.3","62.2","96"
"Poland","146.6","74.4","63.8","62.1","45.2","9.8","33.6","51.1","75.8"
"Italy","146.1","81.1","55.5","68","79.1","9.9","37","53.1","91.4"
"Greece","137.4","53.8","60.9","54.2","63.2","9.5","32.2","52.8","92.6"
"Hungary","132.3","50.6","63.5","51.1","48.6","13.3","34.1","46.6","78.5"
"Malaysia","116","73","36.9","65.6","44.7","9.6","37.6","66.5","58.1"
"Mexico","126.4","58.2","48.9","68.6","33.6","7.8","42","66.1","82.5"
"Romania","144","66.2","71","54.6","39.7","9.1","33.4","53","76.2"
"Turkey","127.6","53.8","58.9","70.4","41.8","8.9","46.3","69.4","93.2"
"India","122.1","79.3","55.8","67.4","26.9","9.7","46.8","75.9","65.7"
"Argentina","131.8","60.2","38.2","71.3","53.7","10.7","41.6","53.6","98.2"
"Bosnia And Herzegovina","129.3","52.4","59.9","55.9","39.3","11.6","27.5","61.6","78.9"
"Bulgaria","129.7","54.4","60.3","52.1","41.2","8.6","31.1","63","81.6"
"Chile","122.7","54.5","53.5","61.9","55.2","13.1","35.1","66.8","90.2"
"Serbia","123.5","41.8","62.2","53.4","39.6","17.2","28.9","56.6","82.9"
"Colombia","112.1","38.6","49.3","67.8","35.3","18.1","48.1","62.5","96.7"
"Thailand","101.2","38.6","52.7","80.9","48.9","22.8","39.2","72.9","68.6"
"Philippines","99.1","34","59.9","68.2","36","17.8","44.2","72.5","60.6"
"Brazil","100.1","41.6","29.4","52.7","51.3","16.3","45.3","59.5","94.2"
"Russia","103.3","51.1","54.8","56.8","43.9","11.4","48.3","63.3","44.7"
"Indonesia","112.9","37.5","55.3","66","39.7","13.1","42.7","60.7","68.2"
"Pakistan","100.3","41.1","48.8","57.5","25.1","12.5","41.6","77.5","71.9"
"Ukraine","96","30.2","50.6","50.1","26","18.2","38.5","67.2","70.2"
"China","99.4","72.3","60.6","62.9","44.6","28.2","42.5","85.9","78.8"
"Egypt","84.4","24.7","46.3","44.4","25.7","12.7","46.7","87.6","92"
"Iran","92.4","45.6","50.6","51.2","34.6","12.5","49.5","81.2","69.5"
